No,Nama Perusahaan,Kode Saham,Kode Subindustri,Sektor,Subsektor,Industri,Subindustri,Index,PER,PBV,ROE %,ROA %,DER,Mkt Cap,Total Rev,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,NPM %,MTD,YTD
86,PT Bank Capital Indonesia Tbk,BACA,G111,Financials,Banks,Banks,Banks,"COMPOSITE, IDXFINANCE, IDXSMC-COM, MBX",34.46,0.47,1.37,0.37,2.65,3121052152488,1209756000000,13.67,17.04,21.54,20.61,7.56,1.94,20.61
87,PT Bersama Mencapai Puncak Tbk.,BAIK,E515,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Restaurants,"COMPOSITE, DBX, IDXCYCLIC, ISSI",35.63,0.86,2.41,2.23,0.08,114750307632,160717026334,13.08,23.47,-1.63,101.67,2.00,17.48,105.08
88,Saranacentral Bajatama Tbk,BAJA,B144,Basic Materials,Basic Materials,Metals & Minerals,Iron & Steel,"COMPOSITE, DBX, IDXBASIC",-5.46,9.92,-181.66,-8.65,20.00,316800000000,572408176461,-11.17,47.06,28.68,82.29,-10.13,-2.78,88.17
89,PT Bali Towerindo Sentra Tbk.,BALI,J321,Infrastructures,Telecommunication,Wireless Telecommunication Services,Wireless Telecommunication Services,"COMPOSITE, IDXINFRA, IDXSMC-COM, MBX",29.17,2.06,7.06,2.81,1.51,5193662100000,922016659104,15.77,3.33,-3.13,-6.06,19.31,2.95,-20.06
90,PT Bank Net Indonesia Syariah Tbk,BANK,B153,Basic Materials,Basic Materials,Forestry & Paper,Diversified Forest,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM, INFOBANK15, ISSI",103.50,4.18,4.08,1.04,0.19,13671517503490,616892000000,10.59,17.50,9.30,17.50,21.63,0.53,16.77
91,Bekasi Asri Pemula Tbk,BAPA,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT, ISSI",-12.65,0.53,-4.12,-3.58,0.15,60222391320,872177761,35.06,22.35,108.00,100.00,-545.79,18.18,79.31
92,Bhakti Agung Propertindo Tbk,BAPI,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXPROPERT, ISSI",-22.13,0.32,-1.45,-0.89,0.64,134207522472,1191000000,32.00,6.45,266.67,153.85,-509.23,26.92,230.00
93,Sepatu Bata Tbk,BATA,E412,Consumer Cyclicals,Apparel & Luxury Goods,Apparel & Luxury Goods,Footwear,"COMPOSITE, IDXCYCLIC",-1.11,-1.03,,-21.57,-5.33,78000000000,236933943000,3.17,20.37,22.64,30.00,-29.74,10.17,30.00
94,PT Benteng Api Technic Tbk,BATR,B121,Basic Materials,Basic Materials,Construction Materials,Construction Materials,"COMPOSITE, DBX, IDXBASIC, ISSI",25.68,2.15,8.38,5.95,0.41,329729071477,105294897031,4.63,4.63,34.52,37.80,12.19,1.80,43.04
95,Mitra Angkasa Sejahtera Tbk,BAUT,E743,Consumer Cyclicals,Retailing,Specialty Retail,Home Improvement Retail,"COMPOSITE, IDXCYCLIC, ISSI",-9.77,1.09,-11.14,-8.40,0.33,187207135791,98292165904,-9.52,2.70,26.67,137.50,-19.49,-5.00,153.33
96,Bayu Buana Tbk,BAYU,E513,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Travel Agencies,"COMPOSITE, IDXCYCLIC, ISSI, MBX",4.50,0.87,19.43,11.50,0.69,469783637400,1956080417334,1.13,5.08,1.13,-2.54,5.34,1.13,-1.47
97,Bank Central Asia Tbk.,BBCA,G111,Financials,Banks,Banks,Banks,"BISNIS-27, COMPOSITE, ECONOMIC30, ESGQKEHATI, ESGSKEHATI, I-GRADE, IDX30, IDX80, IDXESGL, IDXFINANCE, IDXG30, IDXHIDIV20, IDXLQ45LCL, IDXQ30, IDXVESTA28, INFOBANK15, Investor33, KOMPAS100, LQ45, MBX, MNC36, PRIMBANK10, SRI-KEHATI",17.85,3.65,20.66,3.72,4.53,1009900028362500,77140900000000,-4.48,1.91,-12.33,-21.38,74.10,-4.76,-19.19
98,PT Bank Harda Internasional Tbk.,BBHI,G111,Financials,Banks,Banks,Banks,"COMPOSITE, IDXFINANCE, IDXSMC-COM, MBX",59.87,4.41,7.37,3.28,1.25,32269430815500,1345831674329,-1.35,-2.98,103.47,75.45,40.45,-0.34,96.64
99,Bank Bukopin Tbk,BBKP,G111,Financials,Banks,Banks,Banks,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",-4.09,1.66,-40.56,-3.75,9.81,13564851594196,4262697000000,-5.19,-3.95,21.67,30.36,-78.64,-1.35,32.73
100,Buana Finance Tbk,BBLD,G211,Financials,Financing Service,Consumer Financing,Consumer Financing,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",33.43,1.03,3.06,0.58,4.31,1448300527520,616445000000,2.78,0.00,26.71,41.22,7.03,3.93,42.31
101,PT Bank Mestika Dharma Tbk.,BBMD,G111,Financials,Banks,Banks,Banks,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",23.38,1.48,6.41,2.07,2.10,7936410636000,943385074101,-3.66,-7.71,-10.23,-0.75,36.34,-0.75,3.95
102,PT Bank Negara Indonesia (Persero) Tbk,BBNI,G111,Financials,Banks,Banks,Banks,"BISNIS-27, COMPOSITE, ECONOMIC30, ESGQKEHATI, ESGSKEHATI, I-GRADE, IDX30, IDX80, IDXBUMN20, IDXESGL, IDXFINANCE, IDXG30, IDXHIDIV20, IDXLQ45LCL, IDXV30, INFOBANK15, Investor33, KOMPAS100, LQ45, MBX, MNC36, PRIMBANK10, SMinfra18, SRI-KEHATI",7.84,0.93,11.81,1.60,6.40,157297687488360,60707899000000,-4.30,-4.30,-6.83,-13.32,33.39,-1.86,-7.84
103,PT Bank Rakyat Indonesia (Persero) Tbk,BBRI,G111,Financials,Banks,Banks,Banks,"BISNIS-27, COMPOSITE, ECONOMIC30, ESGQKEHATI, ESGSKEHATI, I-GRADE, IDX30, IDX80, IDXBUMN20, IDXESGL, IDXFINANCE, IDXG30, IDXHIDIV20, IDXLQ45LCL, IDXQ30, IDXVESTA28, INFOBANK15, Investor33, KOMPAS100, LQ45, MBX, MNC36, PRIMBANK10, SMinfra18, SRI-KEHATI",9.98,1.65,16.53,2.63,5.28,552159754640160,177718642000000,-6.46,-11.27,-11.06,-15.02,31.44,-1.36,-14.01
104,Pelayaran Nasional Bina Buana Raya Tbk,BBRM,A122,Energy,"Oil, Gas & Coal",Coal,Coal Distribution,"COMPOSITE, DBX, IDXENERGY, ISSI",6.44,1.06,16.26,14.79,0.10,737715658536,169367631420,41.86,38.64,48.78,50.62,67.59,40.23,54.43
105,PT Bank Bisnis Internasional Tbk.,BBSI,G111,Financials,Banks,Banks,Banks,"COMPOSITE, IDXFINANCE, IDXSMC-COM, MBX",102.52,4.21,4.15,1.34,2.10,14515524511320,1558212745599,-4.50,-5.21,-5.68,-9.05,9.18,-4.50,-9.05
106,Bumi Benowo Sukses Sejahtera Tbk,BBSS,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT, IDXSMC-COM, ISSI",-1682.66,7.11,-0.42,-0.42,0.02,1747205831280,524078887,17.32,45.83,40.94,110.00,-198.13,11.11,180.00
107,PT Bank Tabungan Negara (Persero) Tbk,BBTN,G111,Financials,Banks,Banks,Banks,"COMPOSITE, ECONOMIC30, ESGQKEHATI, ESGSKEHATI, IDX80, IDXBUMN20, IDXFINANCE, IDXLQ45LCL, IDXSMC-COM, IDXSMC-LIQ, IDXV30, INFOBANK15, Investor33, KOMPAS100, LQ45, MBX, SRI-KEHATI",5.20,0.48,9.31,0.63,12.78,16603449462955,25099039000000,-8.75,-19.19,-7.20,-10.98,12.86,-7.59,-7.98
108,PT Bank Neo Commerce Tbk.,BBYB,G111,Financials,Banks,Banks,Banks,"COMPOSITE, IDXFINANCE, IDXSMC-COM, IDXSMC-LIQ, KOMPAS100, MBX",12.08,1.40,11.61,2.60,3.46,5736168244982,2448563000000,23.81,36.05,100.00,93.39,19.60,10.90,108.93
109,MNC Kapital Indonesia Tbk,BCAP,G511,Financials,Holding & Investment Companies,Holding & Investment Companies,Financial Holdings,"COMPOSITE, IDXFINANCE, IDXSMC-COM, MBX",17.59,0.39,2.21,0.44,4.00,2344036800985,2585311000000,0.00,-19.72,1.79,1.79,5.15,3.64,3.64
110,PT Bank JTrust Indonesia Tbk.,BCIC,G111,Financials,Banks,Banks,Banks,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",-30.61,0.73,-2.40,-0.24,9.11,2868171366560,2325746000000,1.94,-7.06,-7.06,-28.83,-4.07,3.95,-11.24
111,Bumi Citra Permai Tbk,BCIP,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, DBX, IDXPROPERT, ISSI",8.42,0.28,3.29,1.88,0.75,142991552500,102421864710,-17.43,-12.62,-5.26,73.08,16.59,-8.16,66.67
112,PT Berdikari Pondasi Perkasa Tbk.,BDKR,J211,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,"COMPOSITE, IDXINFRA, ISSI, MBX",-46.02,1.07,-2.30,-1.52,0.52,798542157218,282703053081,-1.71,10.97,12.42,-12.24,-6.14,2.38,-8.51
113,PT Bank Danamon Indonesia Tbk,BDMN,G111,Financials,Banks,Banks,Banks,"COMPOSITE, IDXFINANCE, IDXSMC-COM, INFOBANK15, MBX, PRIMBANK10",6.61,0.45,6.82,1.42,3.81,24092785179090,18428526000000,-4.31,-3.17,-2.01,-6.15,19.97,-2.40,-6.87
114,Berkah Beton Sadaya Tbk,BEBS,B121,Basic Materials,Basic Materials,Construction Materials,Construction Materials,"COMPOSITE, IDXBASIC",,0.28,-4.61,-4.15,0.11,225000000000,52661661404,0.00,0.00,0.00,0.00,-71.41,0.00,0.00
115,Estika Tata Tiara Tbk,BEEF,D222,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM, ISSI",32.53,14.62,44.95,8.74,4.14,5278162238700,5017688289767,-34.62,55.49,105.65,298.44,3.23,-16.39,251.72
116,PT Jobubu Jarum Minahasa Tbk,BEER,D211,Consumer Non-Cyclicals,Food & Beverage,Beverages,Liquors,"COMPOSITE, DBX, IDXNONCYC",113.29,3.40,3.00,2.76,0.09,800000000000,26551317693,9.34,89.52,165.33,17.06,26.60,0.51,32.67
117,PT Bank Pembangunan Daerah Banten Tbk.,BEKS,G111,Financials,Banks,Banks,Banks,"COMPOSITE, IDXFINANCE, IDXSMC-COM",34.12,0.84,2.47,0.45,4.52,1437848548724,444824000000,10.71,24.00,10.71,-8.82,9.57,10.71,0.00
118,PT Global Digital Niaga Tbk,BELI,I111,Technology,Software & IT Services,Online Applications & Services,Online Applications & Services,"COMPOSITE, IDXTECHNO, ISSI, MBX",-24.62,6.82,-27.42,-14.27,0.92,61577417454940,15239346000000,5.78,36.00,19.00,4.85,-16.41,1.71,5.78
119,PT Trisula Textile Industries Tbk,BELL,E413,Consumer Cyclicals,Apparel & Luxury Goods,Apparel & Luxury Goods,Textiles,"COMPOSITE, DBX, IDXCYCLIC, ISSI",99.75,1.86,1.86,0.90,1.07,507500000000,413330203124,-20.45,6.06,37.25,11.11,1.23,-1.41,16.67
120,Batulicin Nusantara Maritim Tbk,BESS,A122,Energy,"Oil, Gas & Coal",Coal,Coal Distribution,"COMPOSITE, DBX, IDXENERGY, IDXSMC-COM, ISSI",63.16,9.10,14.41,13.27,0.09,5986392618720,261691048813,0.57,59.28,39.13,471.43,36.22,1.73,405.75
121,Bekasi Fajar Industrial Estate Tbk,BEST,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXPROPERT, ISSI, MBX",128.53,0.22,0.17,0.13,0.29,984025737300,246085896096,0.00,-10.26,3.96,-3.67,3.11,0.96,2.94
122,BFI Finance Indonesia Tbk,BFIN,G211,Financials,Financing Service,Consumer Financing,Consumer Financing,"COMPOSITE, IDXFINANCE, IDXQ30, IDXSMC-COM, IDXSMC-LIQ, KOMPAS100, MBX",6.98,1.04,14.85,6.36,1.33,11279537715000,4181930000000,-5.92,-5.92,-17.34,-21.86,38.67,-5.30,-23.12
123,PT Bank Ganesha Tbk.,BGTG,G111,Financials,Banks,Banks,Banks,"COMPOSITE, IDXFINANCE, IDXSMC-COM, MBX",12.23,0.80,6.63,2.36,1.81,2918948317236,549884000000,-0.85,6.36,46.25,40.96,43.86,-2.50,56.00
124,Bhakti Multi Artha Tbk,BHAT,G413,Financials,Insurance,Insurance,Life Insurance,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",-21672.80,12.20,-0.06,-0.03,1.01,7575000000000,109598728860,40.87,64.61,127.13,225.56,-0.32,1.74,217.10
125,PT MNC Investama Tbk.,BHIT,C311,Industrials,Multi-sector Holdings,Multi-sector Holdings,Multi-sector Holdings,"COMPOSITE, IDXINDUST, IDXSMC-COM",15.71,0.07,0.41,0.23,0.80,2754181014560,11267083000000,18.75,11.76,35.71,2.70,1.56,15.15,11.76
126,Binakarya Jaya Abadi Tbk,BIKA,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXPROPERT",,-0.07,,-1.66,-7.74,32575400000,90303526319,0.00,0.00,0.00,0.00,-54.43,0.00,0.00
127,PT Sepeda Bersama Indonesia Tbk,BIKE,E321,Consumer Cyclicals,Leisure Goods,Sport Equipment & Hobbies Goods,Sport Equipment & Hobbies Goods,"COMPOSITE, DBX, IDXCYCLIC, ISSI",72.62,9.49,13.07,4.17,2.14,1106298525420,278423423341,-13.41,-31.40,20.34,25.66,5.47,-15.48,46.69
128,Primarindo Asia Infrastructure Tbk,BIMA,E412,Consumer Cyclicals,Apparel & Luxury Goods,Apparel & Luxury Goods,Footwear,"COMPOSITE, IDXCYCLIC",-1.89,0.98,-51.88,-8.52,5.09,49870408712,87457724058,2.50,6.49,78.26,-21.15,-30.14,0.00,-4.65
129,PT Bank Ina Perdana Tbk.,BINA,G111,Financials,Banks,Banks,Banks,"COMPOSITE, IDXFINANCE, IDXSMC-COM, MBX",6164.92,7.37,0.12,0.01,7.17,27269429046020,1414656000000,-0.22,0.67,2.05,9.54,0.32,-0.22,9.54
130,Perma Plasindo Tbk,BINO,C223,Industrials,Industrial Services,Commercial Services,Office Supplies,"COMPOSITE, DBX, IDXINDUST, ISSI",-7.25,0.88,-12.03,-8.90,0.35,350398681094,259171857974,15.50,19.20,36.70,-21.16,-18.65,-4.49,-13.87
131,Astrindo Nusantara Infrastruktur Tbk,BIPI,A111,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Production & Refinery,"COMPOSITE, DBX, IDXENERGY, IDXSMC-COM",-153.77,0.61,-0.40,-0.14,1.79,5988758510198,3252050564724,2.38,10.26,3.61,-6.52,-1.20,-6.52,0.00
132,Bhuwanatala Indah Permai Tbk,BIPP,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXPROPERT, ISSI",7.94,0.25,3.09,1.70,0.82,246404799424,191437030617,20.00,10.20,63.64,68.75,16.21,8.00,92.86
133,PT Blue Bird Tbk,BIRD,K132,Transportation & Logistic,Transportation,Passenger Land Transportation,Road Transportation,"COMPOSITE, ESGSKEHATI, IDXSMC-COM, IDXTRANS, ISSI, MBX",6.97,0.71,10.22,6.84,0.50,4403696000000,4119498000000,-3.40,-3.40,-10.26,-6.58,15.33,-1.73,7.57
134,BISI INTERNATIONAL Tbk,BISI,D232,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,"COMPOSITE, IDXNONCYC, IDXSMC-COM, ISSI, MBX",18.47,0.79,4.25,3.94,0.08,2670000000000,1075004000000,-3.35,-1.70,-10.82,-21.00,13.45,-2.81,-21.00
135,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,BJBR,G111,Financials,Banks,Banks,Banks,"COMPOSITE, ESGSKEHATI, IDXBUMN20, IDXFINANCE, IDXSMC-COM, INFOBANK15, MBX",8.44,0.40,4.84,0.46,8.95,8332983399200,13800347000000,-1.24,3.25,-5.92,-16.75,7.23,0.00,-14.05
136,Bank Pembangunan Daerah Jawa Timur Tbk,BJTM,G111,Financials,Banks,Banks,Banks,"COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDXBUMN20, IDXFINANCE, IDXSMC-COM, MBX, PRIMBANK10",5.74,0.54,9.49,1.14,6.12,8101611990045,7134222000000,-1.83,3.88,8.30,-3.60,19.99,-0.93,-2.73
137,Bukit Darmo Property Tbk,BKDP,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXPROPERT, ISSI",-8.23,0.94,-11.46,-4.95,1.31,300559690080,27317232840,10.26,16.22,22.86,-14.00,-133.61,-2.27,-17.31
138,Sentul City Tbk,BKSL,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXPROPERT, IDXSMC-COM, ISSI, MBX",415.36,1.68,0.41,0.29,0.40,25659462113865,836979819540,28.93,19.08,21.88,113.70,7.38,1.30,136.36
139,PT Bank QNB Indonesia Tbk,BKSW,G111,Financials,Banks,Banks,Banks,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",986.73,0.48,0.05,0.02,1.65,2262420412265,545158000000,3.13,-4.35,10.00,-16.46,0.42,3.13,-9.59
140,PT Superior Prima Sukses Tbk,BLES,B121,Basic Materials,Basic Materials,Construction Materials,Construction Materials,"COMPOSITE, DBX, IDXBASIC, IDXSMC-COM, ISSI",16.82,1.31,7.69,4.06,0.89,1404652611200,1073158188485,3.14,5.13,-11.35,-39.26,7.78,3.80,-36.43
141,PT Trimitra Trans Persada Tbk,BLOG,K211,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries,"COMPOSITE, IDXTRANS, ISSI, MBX",11.61,2.63,22.68,13.19,0.72,1541046163200,954520339381,-7.95,-21.43,,,13.91,0.46,
142,Berlian Laju Tanker Tbk,BLTA,K211,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries,"COMPOSITE, IDXTRANS, ISSI",19.10,0.74,3.85,1.83,1.11,830085987296,615392677224,25.81,0.00,95.00,85.71,7.06,21.88,85.71
143,Graha Layar Prima Tbk,BLTZ,E514,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Recreational & Sports Facilities,"COMPOSITE, IDXCYCLIC, IDXSMC-COM, ISSI",-48.36,6.28,-12.98,-2.92,3.44,2613072054580,922257694000,13.26,66.11,66.11,49.50,-5.86,0.34,49.50
144,Berkah Prima Perkasa Tbk,BLUE,C223,Industrials,Industrial Services,Commercial Services,Office Supplies,"COMPOSITE, DBX, IDXINDUST, ISSI",88.45,12.32,13.92,12.75,0.09,1266540000000,109993459764,-5.68,937.50,888.10,888.10,13.02,14.48,882.25
145,PT Bank Maspion Indonesia Tbk.,BMAS,G111,Financials,Banks,Banks,Banks,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",-45.80,1.89,-4.16,-1.23,2.37,12276320440800,1148600158000,-4.96,-5.63,-5.63,11.67,-23.57,0.00,15.52
146,PT Lavender Bina Cendikia Tbk,BMBL,E521,Consumer Cyclicals,Consumer Services,Education & Support Services,Education Services,ABX,-8.62,1.12,-12.95,-12.04,0.08,78286155620,8031566900,34.09,28.26,268.75,391.67,-113.06,-25.32,321.43
147,Bundamedik Tbk,BMHS,F121,Healthcare,Healthcare Equipment & Providers,Healthcare Providers,Healthcare Providers,"COMPOSITE, IDXHEALTH, IDXSMC-COM, ISSI, MBX",137.41,0.80,0.58,0.34,0.69,1703476402848,1154892287618,28.10,10.11,-7.55,-28.47,1.07,-4.85,-21.60
148,Bank Mandiri (Persero) Tbk.,BMRI,G111,Financials,Banks,Banks,Banks,"BISNIS-27, COMPOSITE, ECONOMIC30, ESGQKEHATI, ESGSKEHATI, I-GRADE, IDX30, IDX80, IDXBUMN20, IDXESGL, IDXFINANCE, IDXG30, IDXHIDIV20, IDXLQ45LCL, IDXQ30, IDXVESTA28, INFOBANK15, Investor33, KOMPAS100, LQ45, MBX, MNC36, PRIMBANK10, SMinfra18, SRI-KEHATI",8.75,1.42,16.41,2.01,6.30,446291999980680,146174779000000,5.32,10.49,-4.35,-19.18,35.23,1.85,-15.38
149,Bintang Mitra Semestaraya Tbk,BMSR,B111,Basic Materials,Basic Materials,Chemicals,Basic Chemicals,"COMPOSITE, DBX, IDXBASIC, ISSI",-4.11,0.41,-9.81,-5.12,0.91,338486407008,2632455632590,-3.29,8.09,14.84,-8.13,-3.13,0.00,-6.37
150,PT Global Mediacom Tbk,BMTR,C311,Industrials,Multi-sector Holdings,Multi-sector Holdings,Multi-sector Holdings,"COMPOSITE, IDXCYCLIC, IDXSMC-COM, ISSI, MBX",4.46,0.08,1.77,1.44,0.22,2338343659626,7371125000000,-6.00,0.00,2.17,-28.79,7.12,0.71,-25.00
151,Bank Bumi Arta Tbk,BNBA,G111,Financials,Banks,Banks,Banks,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",116.21,0.70,0.61,0.23,1.60,2230489800000,407359202033,2.42,-18.06,-26.16,-1.55,4.76,-4.51,4.10
152,Bakrie & Brothers Tbk,BNBR,C311,Industrials,Multi-sector Holdings,Multi-sector Holdings,Multi-sector Holdings,"COMPOSITE, IDXINDUST, IDXSMC-COM, ISSI",-33.28,2.40,-7.15,-4.13,0.73,9884759453013,2654146000000,112.00,158.54,265.52,135.56,-11.19,70.97,231.25
153,PT Bank CIMB Niaga Tbk,BNGA,G111,Financials,Banks,Banks,Banks,"COMPOSITE, IDXFINANCE, IDXG30, IDXHIDIV20, IDXQ30, IDXSMC-COM, IDXSMC-LIQ, IDXV30, INFOBANK15, Investor33, KOMPAS100, MBX, MNC36",6.41,0.78,12.36,1.88,5.56,44181141216600,21116223000000,-0.57,1.76,0.00,-2.80,32.97,-1.70,-2.25
154,PT Bank Maybank Indonesia Tbk,BNII,G111,Financials,Banks,Banks,Banks,"COMPOSITE, I-GRADE, IDXFINANCE, IDXSMC-COM, MBX, PRIMBANK10",10.04,0.48,4.78,0.78,5.12,15372916517844,10235500000000,-1.92,-3.77,2.00,-6.42,15.12,-0.97,-1.92
155,Bank Permata Tbk,BNLI,G111,Financials,Banks,Banks,Banks,"COMPOSITE, IDXFINANCE, MBX",47.50,3.84,8.09,1.36,4.95,172292015899250,14722177000000,-7.51,42.77,95.06,378.79,24.89,-1.04,388.66
156,PT Newport Marine Services Tbk,BOAT,A132,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services","COMPOSITE, DBX, IDXENERGY, ISSI",14.65,1.06,7.25,5.09,0.42,448215040000,214385521428,42.75,42.75,64.04,-27.52,14.27,34.53,-4.59
157,Formosa Ingredient Factory Tbk,BOBA,D222,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods,"COMPOSITE, DBX, IDXNONCYC, ISSI",11.04,1.37,12.24,11.18,0.10,226527000000,132838256385,0.52,13.53,22.15,7.22,15.45,0.52,7.22
158,PT Bintang Oto Global Tbk,BOGA,E745,Consumer Cyclicals,Retailing,Specialty Retail,Automotive Retail,"COMPOSITE, DBX, IDXCYCLIC, IDXSMC-COM, ISSI",-147.98,8.73,-5.90,-3.38,0.74,4031737782600,300492813301,109.43,93.04,113.46,119.80,-9.07,5.71,101.82
159,Bali Bintang Sejahtera Tbk,BOLA,E514,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Recreational & Sports Facilities,"COMPOSITE, IDXCYCLIC, ISSI, MBX",11.66,1.31,11.25,9.63,0.17,1008000000000,205445303187,0.00,-10.94,80.00,72.73,42.08,2.40,85.87
160,Garuda Metalindo Tbk,BOLT,E111,Consumer Cyclicals,Automobiles & Components,Auto Components,Auto Parts & Equipment,"COMPOSITE, DBX, IDXCYCLIC, IDXSMC-COM, ISSI",18.05,2.57,14.25,9.12,0.56,2460937500000,1257736198441,-7.66,-2.84,-13.87,-20.85,10.84,-1.44,-21.46
161,Borneo Olah Sarana Sukses Tbk,BOSS,A121,Energy,"Oil, Gas & Coal",Coal,Coal Production,"COMPOSITE, IDXENERGY",,-0.42,,-28.88,-4.78,70000000000,141972284847,0.00,0.00,0.00,0.00,-128.28,0.00,0.00
162,Batavia Prosperindo Finance Tbk,BPFI,G211,Financials,Financing Service,Consumer Financing,Consumer Financing,"COMPOSITE, DBX, IDXFINANCE",11.21,0.76,6.81,3.39,1.01,877070478736,234486688177,-1.24,-2.45,-13.59,3.92,33.36,-1.24,1.92
163,Batavia Prosperindo Internasional Tbk,BPII,G511,Financials,Holding & Investment Companies,Holding & Investment Companies,Financial Holdings,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",42.34,3.04,7.18,2.45,1.93,5361186084800,839538606642,-2.88,-12.93,-15.83,-11.40,15.08,-1.94,-9.01
164,PT Batavia Prosperindo Trans Tbk.,BPTR,K132,Transportation & Logistic,Transportation,Passenger Land Transportation,Road Transportation,"COMPOSITE, DBX, IDXTRANS",17.52,0.55,3.16,0.87,2.65,318060000000,436927497147,-4.21,-6.19,7.06,5.81,4.15,0.00,13.75
165,Indo Kordsa Tbk,BRAM,E112,Consumer Cyclicals,Automobiles & Components,Auto Components,Tires,"COMPOSITE, DBX, IDXCYCLIC, IDXSMC-COM, ISSI",-442474.48,0.58,0.00,0.00,0.21,2164774073800,1569157599672,-6.01,-7.13,-18.79,-21.83,0.00,-2.49,-19.14
166,PT Barito Renewables Energy Tbk.,BREN,J411,Infrastructures,Utilities,Electric Utilities,Electric Utilities,"COMPOSITE, IDXINFRA, MBX",523.14,88.92,17.00,3.83,3.44,1281003056500000,7634870724000,-4.55,10.53,46.51,10.85,32.07,-1.05,-0.26
167,PT Bank BRIsyariah Tbk,BRIS,G111,Financials,Banks,Banks,Banks,"COMPOSITE, ECONOMIC30, I-GRADE, IDXBUMN20, IDXFINANCE, IDXG30, IDXLQ45LCL, IDXMESBUMN, IDXQ30, IDXSHAGROW, INFOBANK15, Investor33, ISSI, JII, JII70, KOMPAS100, MBX, MNC36, PRIMBANK10",14.45,2.14,14.98,1.79,1.77,106862833675260,14271379000000,-10.16,-16.92,-15.65,-23.79,52.33,-7.14,-20.50
168,Bumi Resources Minerals Tbk,BRMS,B146,Basic Materials,Basic Materials,Metals & Minerals,Diversified Metals & Minerals,"COMPOSITE, ECONOMIC30, IDX80, IDXBASIC, ISSI, JII, JII70, KOMPAS100, MBX, MNC36",174.95,8.11,4.59,3.89,0.18,138239439329550,3064301569368,-1.99,101.84,99.39,124.89,25.79,-0.51,145.02
169,Berlina Tbk,BRNA,B131,Basic Materials,Basic Materials,Containers & Packaging,Containers & Packaging,"COMPOSITE, DBX, IDXBASIC, ISSI",44.58,0.68,1.54,0.69,1.23,700063650000,790793491000,-3.38,-4.67,10.00,-0.69,1.99,-0.69,2.14
170,Barito Pacific Tbk,BRPT,B111,Basic Materials,Basic Materials,Chemicals,Basic Chemicals,"BISNIS-27, COMPOSITE, ECONOMIC30, I-GRADE, IDX30, IDX80, IDXBASIC, ISSI, JII, JII70, KOMPAS100, LQ45, MBX, MNC36",32.83,3.15,9.61,3.83,1.51,335615040597520,92868145344000,-2.15,61.78,145.12,304.44,11.01,4.90,287.23
